file,check_type,column,status,affected_count,total_count,affected_pct,detail
AffectedPersons__20260418_072029_UTC.csv,row_structure,,ok,0,16,0.0,Rows have the same number of parsed fields as the header.
AffectedPersons__20260418_072029_UTC.csv,duplicate_rows,,ok,0,16,0.0,Exact duplicate logical rows.
AllocationFlow__20260418_071755_UTC.csv,row_structure,,ok,0,198,0.0,Rows have the same number of parsed fields as the header.
AllocationFlow__20260418_071755_UTC.csv,duplicate_rows,,ok,0,198,0.0,Exact duplicate logical rows.
AllocationsByOrgType__20260418_071803_UTC.csv,row_structure,,ok,0,18,0.0,Rows have the same number of parsed fields as the header.
AllocationsByOrgType__20260418_071803_UTC.csv,duplicate_rows,,ok,0,18,0.0,Exact duplicate logical rows.
AllocationsTimeline__20260418_071808_UTC.csv,row_structure,,ok,0,49,0.0,Rows have the same number of parsed fields as the header.
AllocationsTimeline__20260418_071808_UTC.csv,duplicate_rows,,ok,0,49,0.0,Exact duplicate logical rows.
AllocationsTimeline__20260418_071808_UTC.csv,date_parse,Start Date,warning,49,49,100.0,Non-empty date-like values that do not parse with expected formats.
AllocationsTimeline__20260418_071808_UTC.csv,date_parse,End Date,warning,49,49,100.0,Non-empty date-like values that do not parse with expected formats.
Allocations__20260418_071733_UTC.csv,row_structure,,ok,0,33,0.0,Rows have the same number of parsed fields as the header.
Allocations__20260418_071733_UTC.csv,duplicate_rows,,ok,0,33,0.0,Exact duplicate logical rows.
CBPFcontributions__20260418_071813_UTC.csv,row_structure,,ok,0,145,0.0,Rows have the same number of parsed fields as the header.
CBPFcontributions__20260418_071813_UTC.csv,duplicate_rows,,ok,0,145,0.0,Exact duplicate logical rows.
ContributionTrends__20260418_071819_UTC.csv,row_structure,,ok,0,381,0.0,Rows have the same number of parsed fields as the header.
ContributionTrends__20260418_071819_UTC.csv,duplicate_rows,,ok,0,381,0.0,Exact duplicate logical rows.
ContributionsFlow__20260418_071825_UTC.csv,row_structure,,ok,0,145,0.0,Rows have the same number of parsed fields as the header.
ContributionsFlow__20260418_071825_UTC.csv,duplicate_rows,,ok,0,145,0.0,Exact duplicate logical rows.
GenderAgeMarker__20260418_072032_UTC.csv,row_structure,,ok,0,35,0.0,Rows have the same number of parsed fields as the header.
GenderAgeMarker__20260418_072032_UTC.csv,duplicate_rows,,ok,0,35,0.0,Exact duplicate logical rows.
SectorsOverview__20260418_071833_UTC.csv,row_structure,,ok,0,97,0.0,Rows have the same number of parsed fields as the header.
SectorsOverview__20260418_071833_UTC.csv,duplicate_rows,,ok,0,97,0.0,Exact duplicate logical rows.
cod_population_admin0.csv,missingness,ADM1_PCODE,warning,6722,6722,100.0,Column is blank in at least half of logical rows. Review whether this is structural or data loss.
cod_population_admin0.csv,missingness,ADM1_NAME,warning,6722,6722,100.0,Column is blank in at least half of logical rows. Review whether this is structural or data loss.
cod_population_admin0.csv,missingness,ADM2_PCODE,warning,6722,6722,100.0,Column is blank in at least half of logical rows. Review whether this is structural or data loss.
cod_population_admin0.csv,missingness,ADM2_NAME,warning,6722,6722,100.0,Column is blank in at least half of logical rows. Review whether this is structural or data loss.
cod_population_admin0.csv,missingness,ADM3_PCODE,warning,6722,6722,100.0,Column is blank in at least half of logical rows. Review whether this is structural or data loss.
cod_population_admin0.csv,missingness,ADM3_NAME,warning,6722,6722,100.0,Column is blank in at least half of logical rows. Review whether this is structural or data loss.
cod_population_admin0.csv,missingness,ADM4_PCODE,warning,6722,6722,100.0,Column is blank in at least half of logical rows. Review whether this is structural or data loss.
cod_population_admin0.csv,missingness,ADM4_NAME,warning,6722,6722,100.0,Column is blank in at least half of logical rows. Review whether this is structural or data loss.
cod_population_admin0.csv,row_structure,,ok,0,6722,0.0,Rows have the same number of parsed fields as the header.
cod_population_admin0.csv,duplicate_rows,,ok,0,6722,0.0,Exact duplicate logical rows.
cod_population_admin1.csv,missingness,ADM2_PCODE,warning,91471,91471,100.0,Column is blank in at least half of logical rows. Review whether this is structural or data loss.
cod_population_admin1.csv,missingness,ADM2_NAME,warning,91471,91471,100.0,Column is blank in at least half of logical rows. Review whether this is structural or data loss.
cod_population_admin1.csv,missingness,ADM3_PCODE,warning,91471,91471,100.0,Column is blank in at least half of logical rows. Review whether this is structural or data loss.
cod_population_admin1.csv,missingness,ADM3_NAME,warning,91471,91471,100.0,Column is blank in at least half of logical rows. Review whether this is structural or data loss.
cod_population_admin1.csv,missingness,ADM4_PCODE,warning,91471,91471,100.0,Column is blank in at least half of logical rows. Review whether this is structural or data loss.
cod_population_admin1.csv,missingness,ADM4_NAME,warning,91471,91471,100.0,Column is blank in at least half of logical rows. Review whether this is structural or data loss.
cod_population_admin1.csv,row_structure,,ok,0,91471,0.0,Rows have the same number of parsed fields as the header.
cod_population_admin1.csv,duplicate_rows,,warning,5,91471,0.0055,Exact duplicate logical rows.
